key,russian
bookLuckyLooterDukes,"Везучий искатель, том 1"
bookLuckyLooterFood,"Везучий искатель, том 6"
bookLuckyLooterLead,"Везучий искатель, том 4"
bookLuckyLooterMedical,"Везучий искатель, том 7"
bookNeedleAndThreadDesertWear,"Иголка с ниткой, том 4"
bookNeedleAndThreadDusters,"Иголка с ниткой, том 5"
bookNeedleAndThreadFootwear,"Иголка с ниткой, том 3"
bookNeedleAndThreadLegwear,"Иголка с ниткой, том 2"
bookNeedleAndThreadPockets,"Иголка с ниткой, том 7"
bookNeedleAndThreadPufferCoats,"Иголка с ниткой, том 6"
bookNeedleAndThreadWinterWear,"Иголка с ниткой, том 1"
bookNightStalkerArchery,"Ночной сталкер, том 5"
bookNightStalkerBlades,"Ночной сталкер, том 3"
bookNightStalkerSilentNight,"Ночной сталкер, том 2"
bookNightStalkerSlumberParty,"Ночной сталкер, том 7"
bookNightStalkerStealthDamage,"Ночной сталкер, том 1"
bookNightStalkerThiefAdrenaline,"Ночной сталкер, том 4"
bookNightStalkerTwilightThief,"Ночной сталкер, том 6"
bookPistolPeteAPAmmo,"Пит-пистолет, том 6"
bookPistolPeteDamage,"Пит-пистолет, том 7"
bookPistolPeteHPAmmo,"Пит-пистолет, том 5"
bookPistolPeteMaintenance,"Пит-пистолет, том 4"
bookPistolPeteSteadyHand,"Пит-пистолет, том 3"
bookPistolPeteSwissKnees,"Пит-пистолет, том 2"
bookPistolPeteTakeAim,"Пит-пистолет, том 1"
bookRangersAPAmmo,"Гид по лучно-арбалетному оружию, том 4"
bookRangersArrowRecovery,"Гид по лучно-арбалетному оружию, том 1"
bookRangersCripplingShot,"Гид по лучно-арбалетному оружию, том 3"
bookRangersExplodingBolts,"Гид по лучно-арбалетному оружию, том 2"
bookRangersFlamingArrows,"Гид по лучно-арбалетному оружию, том 5"
bookRangersForestGuide,"Гид по лучно-арбалетному оружию, том 6"
bookRangersKnockdown,"Гид по лучно-арбалетному оружию, том 7"
bookShotgunMessiahBreachingSlugs,"Виртуоз дробовика, том 2"
bookShotgunMessiahDamage,"Виртуоз дробовика, том 1"
bookShotgunMessiahLimbShot,"Виртуоз дробовика, том 3"
bookShotgunMessiahMagazine,"Виртуоз дробовика, том 6"
bookShotgunMessiahMaintenance,"Виртуоз дробовика, том 5"
bookShotgunMessiahPartyStarter,"Виртуоз дробовика, том 7"
bookShotgunMessiahSlugs,"Виртуоз дробовика, том 4"
bookSniperAPAmmo,"Снайпер, том 6"
bookSniperControlledBreathing,"Снайпер, том 5"
bookSniperCripplingShot,"Снайпер, том 2"
bookSniperDamage,"Снайпер, том 1"
bookSniperHeadShot,"Снайпер, том 3"
bookSniperHPAmmo,"Снайпер, том 7"
bookSniperReload,"Снайпер, том 4"
bookSpearHunter1Damage,"Охота с копьем, том 1"
bookSpearHunter2Maintenance,"Охота с копьем, том 2"
bookSpearHunter3SteelSpears,"Охота с копьем, том 3"
bookSpearHunter4StrongArm,"Охота с копьем, том 4"
bookSpearHunter5RapidStrike,"Охота с копьем, том 5"
bookSpearHunter6PuncturedLung,"Охота с копьем, том 6"
bookSpearHunter7QuickStrike,"Охота с копьем, том 7"
bookTechJunkie1Damage,"Техноманьяк, том 1"
bookTechJunkie2Maintenance,"Техноманьяк, том 2"
bookTechJunkie3APAmmo,"Техноманьяк, том 3"
bookTechJunkie4Shells,"Техноманьяк, том 4"
bookTechJunkie5Repulsor,"Техноманьяк, том 5"
bookTechJunkie6BatonCharge,"Техноманьяк, том 6"
bookTechJunkie7Hydraulics,"Техноманьяк, том 7"
bookUrbanCombatAdrenalineRush,"Бой в городских условиях, том 6"
bookUrbanCombatCigar,"Бой в городских условиях, том 2"
bookUrbanCombatLanding,"Бой в городских условиях, том 1"
bookUrbanCombatRoomClearing,"Бой в городских условиях, том 7"
bookWasteTreasuresAcid,"Сокровища пустошей, том 3"
bookWasteTreasuresCloth,"Сокровища пустошей, том 6"
bookWasteTreasuresCoffins,"Сокровища пустошей, том 2"
bookWasteTreasuresDoors,"Сокровища пустошей, том 5"
bookWasteTreasuresHoney,"Сокровища пустошей, том 1"
bookWasteTreasuresSinks,"Сокровища пустошей, том 7"
bookWasteTreasuresWater,"Сокровища пустошей, том 4"
perkArtOfMining0Desc,"Шахтерское ремесло. Вы учитесь у Херба Дугалла по кличке Зубоскал (тот самый Долбатель) и можете показать новичкам, кто тут быстрее всех крушит скальные породы."
perkArtOfMining0Name,"Шахтерское ремесло"
perkArtOfMiningAvalancheDesc,"На 10% меньше урона от обрушившихся шахт."
perkArtOfMiningAvalancheLongDesc,"Обвал. Вы научились действовать проворно, и теперь можете унести ноги (и не только их) из-под обвала. На 10% меньше урона от обрушившихся шахт."
perkArtOfMiningBlackStrapDesc,"Создание очень крепкого кофе рудокопов."
perkArtOfMiningBlackStrapLongDesc,"Кофе рудокопов. Более чем двухсотлетний рецепт очень крепкого кофе с длительным действием, который не даст вам заледенеть вконец. Создание очень крепкого кофе рудокопов."
perkArtOfMiningCoffeeDesc,"Во время действия кофе сбор руды повышается на 5%."
perkArtOfMiningCoffeeLongDesc,"Кофе. Шахтерам без кофе никуда. Во время действия кофе сбор любой руды повышается на 10%."
perkArtOfMiningCompleteDesc,"Вероятность 20% добыть руду с одного раза."
perkArtOfMiningCompleteLongDesc,"С одного выстрела. Валяя дурака, шахту не найдешь. Работайте с горными породами как профессионал. При использовании горного инструмента вероятность 20% добыть руду с одного раза."
perkArtOfMiningDiamondToolsDesc,"Создание модификаций лезвий с алмазным напылением: прочность инструментов значительно повышается."
perkArtOfMiningDiamondToolsLongDesc,"Алмазный инструмент. Если инструмент ломается, старателем не стать. Создание модификаций лезвий с алмазным напылением: прочность инструментов значительно повышается."
perkArtOfMiningLanternDesc,"Научитесь создавать фонари и шахтерские каски."
perkArtOfMiningLanternLongDesc,"Фонари. Нельзя работать вслепую. Научитесь создавать фонари, шахтерские каски и модификации касок для света."
perkArtOfMiningLuckyStrikeDesc,"Дает небольшую возможность добыть драгоценные камни из руды."
perkArtOfMiningLuckyStrikeLongDesc,"Везунчик. Хитрость, которая пополнит запасы блестящих штучек. Дает небольшую возможность добыть драгоценные камни из руды."
perkArtOfMiningPalletsDesc,"Более компактно укладывайте базовые ресурсы, например руду."
perkArtOfMiningPalletsLongDesc,"Так много руды, что еле тащитесь?\nИз базовых ресурсов, таких как руда, камень и дерево, можно сделать компактный запас, который будет легче носить."
perkAutoWeapons0Desc,"Отличный военный специалист Леонард Бартон по кличке Сержант научит вас стрельбе, уходу и обращению с автоматическим оружием 7,62 мм."
perkAutoWeapons0Name,"Руководство по автоматическому оружию"
perkAutoWeaponsCompleteDesc,"Каждое убийство на 5 секунд повышает скорость бега на 10%."
perkAutoWeaponsCompleteLongDesc,"Наступательный удар. Прилив адреналина во время боя позволяет резко сократить дистанцию до противника. Каждое убийство на 20 секунд повышает скорость бега на 20%."
perkAutoWeaponsDamageDesc,"Автоматическое оружие наносит на 10% больше урона."
perkAutoWeaponsDamageLongDesc,"Урон. Бей насмерть, Господь распознает своих. В бою выбор невелик: либо вы — либо они. Автоматическое оружие наносит на 10% больше урона."
perkAutoWeaponsDrumMagDesc,"Создание барабанных магазинов в качестве модификаций для автоматического оружия."
perkAutoWeaponsDrumMagLongDesc,"Барабанные магазины. Создание барабанных магазинов в качестве модификаций для автоматического оружия и пушек."
perkAutoWeaponsMachineGunsDesc,"Создание пулеметов М60."
perkAutoWeaponsMachineGunsLongDesc,"Пулеметы. Выражение Смерть без боли появилось не без причины: вы станете звездой поля боя. Создание пулеметов М60."
perkAutoWeaponsMaintenanceDesc,"Автоматическое оружие приходит в негодность на 20% медленнее."
perkAutoWeaponsMaintenanceLongDesc,"Надлежащий уход. Вы умеете ухаживать за автоматическим оружием и не даете ему развалиться. Автоматическое оружие приходит в негодность на 20% медленнее."
perkAutoWeaponsRagdollDesc,"В полностью автоматическом режиме с каждым попаданием повышается вероятность отбросить противника."
perkAutoWeaponsRagdollLongDesc,"Отбрасывание. В полностью автоматическом режиме с каждым попаданием повышается вероятность отбросить противника."
perkAutoWeaponsRecoilDesc,"При полностью автоматическом огне точность увеличивается с каждым выстрелом."
perkAutoWeaponsRecoilLongDesc,"Отдача. Своим бойцам я говорю: Чтобы ни один мускул не дрогнул! Позволяет вести точный прицельный огонь из автоматического оружия. При полностью автоматическом огне точность увеличивается с каждым выстрелом."
perkAutoWeaponsUncontrolledBurstDesc,"В полностью автоматическом режиме при каждом попадании урон на 1% больше."
perkAutoWeaponsUncontrolledBurstLongDesc,"Неудержимая стрельба. Иногда в ближнем бою приходится стрелять почти наугад. В полностью автоматическом режиме при каждом попадании урон на 1% больше (до первого промаха)."
perkBarBrawling0Desc,"Вашим учителем станет сам Везучий Гад, поэтому в старой доброй заварушке в баре вас будет не одолеть."
perkBarBrawling0Name,"Драка в баре"
perkBarBrawling1BasicMovesDesc,"Урон кулаками повышается на 10%."
perkBarBrawling1BasicMovesLongDesc,"Основные удары: на 10% повышается урон кулаками и оружием кастетного типа из кожи, железа и с шипами."
perkBarBrawling2DropABombDesc,"Силовые атаки с разбега могут сбить противника с ног."
perkBarBrawling2DropABombLongDesc,"Нокаут: выполненная во время бега силовая атака с большой вероятностью собьет противника с ног."
perkBarBrawling3KillerInstinctDesc,"При каждом убийстве урон повышается на 2% (до 10%)."
perkBarBrawling3KillerInstinctLongDesc,"Инстинкт убийцы: при каждом убийстве урон повышается на 5% (до 15%). Если в течение 10 секунд вы никого не убили, урон снижается на один уровень."
perkBarBrawling4FinishingMovesDesc,"Дополнительный урон сбитым с ног и оглушенным противникам."
perkBarBrawling4FinishingMovesLongDesc,"Добивание: урон сбитым с ног и оглушенным противникам повышается на 20%."
perkBarBrawling5AdrenalineHealingDesc,"С каждым ударом во время боя восстанавливается часть здоровья."
perkBarBrawling5AdrenalineHealingLongDesc,"Лечение на адреналине: в бою каждый сделанный удар восстанавливает 1 ОЗ."
perkBarBrawling6RageModeDesc,"Получив удар, вы начинаете двигаться и атаковать быстрее."
perkBarBrawling6RageModeLongDesc,"Режим ярости: после попадания по вам в драке скорость атаки повышается на 20%, скорость движения — на 10%."
perkBarBrawling7BoozedUpDesc,"Пиво больше не ухудшает зрение."
perkBarBrawling7BoozedUpLongDesc,"Навеселе: выпитое пиво не ухудшает зрение, а эффект от него длится вдвое дольше."
perkBarBrawling8CompleteDesc,"Седьмое проклятие"
perkBarBrawling8CompleteLongDesc,"Седьмое проклятие: техника древних боевых искусств поможет дать выход внутренней энергии ци. Седьмой произведенный за короткое время удар без оружия наносит 300% урона."
perkBatterUp0Desc,"Научитесь держать в руках биту и придавать мячам неплохую скорость."
perkBatterUp0Name,"Отбивающий, на поле!"
perkBatterUpBaseballBatsDesc,"Вы можете изготовить стальную дубинку."
perkBatterUpBaseballBatsLongDesc,"Биты: во времена популярности бейсбола биты были неподражаемы, но тогда, наверное, были слабенькие зомби. Время вам вступить в игру! Вы можете изготовить стальные дубинки."
perkBatterUpBigHitsDesc,"Урон дубинками на 10% больше."
perkBatterUpBigHitsLongDesc,"Хороший удар. Вы могли бы составить неплохую конкуренцию профессионалам. Урон дубинками на 10% больше."
perkBatterUpCompleteDesc,"Смерть противника в результате силовой атаки пополняет выносливость."
perkBatterUpCompleteLongDesc,"Полный успех. После хорошего попадания вы получаете заряд адреналина, что повышает выносливость. Смерть противников в результате силовой атаки пополняет выносливость."
perkBatterUpGearDesc,"Создание бейсбольных кепок и бомберов. При их ношении урон снижается на 5%."
perkBatterUpGearLongDesc,"Полный комплект. Вы можете создавать бейсбольные кепки и бомберы и при их ношении получать на 5% меньше урона."
perkBatterUpKnockdownDesc,"Силовые атаки повышают вероятность сбить с ног."
perkBatterUpKnockdownLongDesc,"Умение сбивать с ног. Силовые атаки повышают вероятность сбить противника с ног."
perkBatterUpMaintenanceDesc,"Биты и дубины приходят в негодность на 20% медленнее."
perkBatterUpMaintenanceLongDesc,"Надлежащий уход. Научитесь ухаживать за битой, и она прослужит дольше. Биты и дубины приходят в негодность на 20% медленнее."
perkBatterUpMetalChainDesc,"Создание модификаций с цепью для бит и дубин."
perkBatterUpMetalChainLongDesc,"Модификация Стальная цепь. Не хватает силы для хорошего удара? Научитесь создавать модификацию Стальная цепь и повысьте котировки своих акций в отрасли по производству инвалидных колясок."
perkBatterUpSlowPitchDesc,"Силовые атаки на ноги замедляют противника."
perkBatterUpSlowPitchLongDesc,"Бей и беги. Эта хитрость позволяет выйти победителем даже в самом безвыходном положении. Силовые атаки на ноги замедляют противника."
perkBookGroupLongDesc,"Чтение книг позволяет разблокировать постоянные умения. Прочтя все тома серии, вы получите особое умение коллекционера."
perkEnforcer0Desc,"Автобиография полицейского, который носит Магнум калибра .44. Вы узнаете, как Гарри Каллахан по прозвищу Грязный вершил справедливость, вовсю применяя Магнум."
perkEnforcer0Name,"Магнум – блюститель закона"
perkEnforcerAPAmmoDesc,"Создание бронебойных патронов .44 Magnum."
perkEnforcerAPAmmoLongDesc,"Бронебойные патроны. Преступники не брезгуют бронежилетами, поэтому правосудию нужны бронебойные патроны. Создание бронебойных патронов калибра .44."
perkEnforcerApparelDesc,"При ношении костюма урон снижается на 5%."
perkEnforcerApparelLongDesc,"Одежда. 29-долларовые костюмы: и выглядят хорошо, и снижают получаемый урон. При ношении костюма урон снижается на 5%."
perkEnforcerCompleteDesc,"Все патроны .44 калибра пробивают противника насквозь. Изготовление боеприпасов комплектами."
perkEnforcerCompleteLongDesc,"Пробитие: обычные и экспансивные пули .44 калибра могут пробивать врагов насквозь и поражать находящиеся за ними цели. Изготовление комплектами. Слишком много чудиков и мало патронов. Создание патронов .44 Magnum комплектами."
perkEnforcerCompleteName,"Блюститель закона, завершение"
perkEnforcerCriminalPursuitDesc,"Бег с оружием .44 калибра в бою снижает выносливость на 10% медленнее."
perkEnforcerCriminalPursuitLongDesc,"Преследование. Получаемый от погони за чудаками адреналин повышает выносливость в пылу боя. Бег с оружием .44 калибра в бою снижает выносливость на 20% медленнее."
perkEnforcerDamageDesc,"Урон оружия .44 калибра на 10% больше."
perkEnforcerDamageLongDesc,"Урон: Магнум калибра .44 — самый мощный револьвер в мире. Урон оружием .44 калибра на 15% больше."
perkEnforcerHPAmmoDesc,"Создание экспансивных патронов .44 Magnum."
perkEnforcerHPAmmoLongDesc,"Экспансивные патроны. Самый мощный револьвер в мире стал еще убойнее. Создание экспансивных патронов .44 Magnum."
perkEnforcerIntimidationDesc,"Бартер с оружием .44 калибра в руках снижает цены на 5%."
perkEnforcerIntimidationLongDesc,"Запугивание: устали от попыток грязных торгашей обмануть? Бартер с оружием .44 калибра в руках снижает цены на 5%."
perkEnforcerPunksDesc,"Последний патрон наносит вдвое больше урона."
perkEnforcerPunksLongDesc,"Неудачники. Пять выстрелов было или шесть? Последний патрон наносит вдвое больше урона."
perkFiremansAlmanac0Desc,"Вы узнаете о пожарных и методах пожаротушения."
perkFiremansAlmanac0Name,"Альманах пожарного"
perkFiremansAlmanacAxesDesc,"Создание модификации Пожарный топор."
perkFiremansAlmanacAxesLongDesc,"Модификации. Создание модификации Пожарный топор. Наносит на 25% больше урона по блокам, но на 25% меньше урона врагам."
perkFiremansAlmanacCompleteDesc,"Более продолжительный бег и никакой перегрузки в сгоревшем лесу"
perkFiremansAlmanacCompleteLongDesc,"Пламенный адреналин. Вместе с запахом дыма вы ощущаете прилив адреналина. В сгоревшем лесу выносливость при беге восстанавливается на 20% быстрее, и вы не ощущаете перегрузки."
perkFiremansAlmanacEquipmentDesc,"Создание шлемов пожарных и снижение урона в них на 5%."
perkFiremansAlmanacEquipmentLongDesc,"Пожарное снаряжение. Создание шлемов пожарных и снижение урона при их ношении на 5%."
perkFiremansAlmanacHarvestDesc,"Урон углю и обгоревшему дереву на 10% больше."
perkFiremansAlmanacHarvestLongDesc,"Поиск и спасение. Продвигайтесь по сгоревшему лесу и находите выживших быстрее. Урон углю и обгоревшему дереву на 10% больше."
perkFiremansAlmanacHeatDesc,"Повышение устойчивости к высоким температурам на 5%."
perkFiremansAlmanacHeatLongDesc,"Закаливание при экстремальных температурах повысило устойчивость к высоким температурам на 10%."
perkFiremansAlmanacMolotovDesc,"Эффект зажигательного оружия действует на 10% дольше."
perkFiremansAlmanacMolotovLongDesc,"Огонь против огня. Действие зажигательного оружия, такого как факелы или коктейли Молотова, длится на 10% дольше."
perkFiremansAlmanacPreventionDesc,"Вероятность загореться снижена на 10%."
perkFiremansAlmanacPreventionLongDesc,"Предупреждение возгорания. Замри, падай на пол и перекатывайся, как профессионал. Вероятность загореться снижена на 25%."
perkFiremansAlmanacSpeedDesc,"Повышение скорость атаки топорами на 5%."
perkFiremansAlmanacSpeedLongDesc,"При тушении пожаров каждая секунда на счету. Эта техника позволяет увеличить скорость атаки топорами на 5%."
perkGreatHeist0Desc,"В этой серии книг подробно разъясняется, как происходили величайшие ограбления всех времен."
perkGreatHeist0Name,"Великое ограбление"
perkGreatHeistAdrenalineFallDesc,"Падение с большой высоты без травм!"
perkGreatHeistAdrenalineFallLongDesc,"Падение на адреналине. Поставьте адреналин себе на службу. Вы можете упасть с 15 метров без травм, если у вас с собой не менее 5000 дюков."
perkGreatHeistClaimedDesc,"На 20% больше урона собственности на земле, по которой заявлены притязания."
perkGreatHeistClaimedLongDesc,"Притязания. Там, где кто-то заявил притязание, ворам обычно делать нечего, однако тайны из этой книги помогут не остаться без добычи нигде. На 20% больше урона собственности на земле, по которой заявлены притязания."
perkGreatHeistCompleteDesc,"Научитесь создавать отмычки и на 20% быстрее взламывать замки; вероятность сломать отмычку будет снижена на 10%."
perkGreatHeistCompleteLongDesc,"Взлом отмычкой. Это было бы уголовно наказуемо — если бы законы еще действовали. Научитесь создавать отмычки и на 20% быстрее взламывать замки. Отмычки будут прочнее на 10%."
perkGreatHeistCompleteName,"Великое ограбление, завершение"
perkGreatHeistGemsDesc,"Вам попадается больше украшений и драгоценных камней."
perkGreatHeistGemsLongDesc,"Драгоценные камни. Вы сможете найти редчайшие тайники с драгоценными камнями и украшениями. Вы находите на 10% больше украшений и драгоценных камней в добыче."
perkGreatHeistMotionDetectionDesc,"Пробирайтесь мимо датчиков движения незамеченными."
perkGreatHeistMotionDetectionLongDesc,"Датчики движения. Лучшая добыча обычно защищена автоматизированными системами защиты, такими как датчики движения и автоматические пушки. В режиме скрытности датчики движения распознают вас с задержкой в три секунды."
perkGreatHeistSafesDesc,"Урон сейфам на 10% больше."
perkGreatHeistSafesLongDesc,"Сейфы. Забыли комбинацию от сейфа? Научитесь просто и быстро взламывать сейфы. Урон сейфам на 10% больше."
perkGreatHeistSprintSneakDesc,"При беге в режиме скрытности выносливость не снижается."
perkGreatHeistSprintSneakLongDesc,"Скрытный бег. Умение быстро красться, не уставая, требует практики, но научиться этому вполне можно. При беге в режиме скрытности выносливость не снижается."
perkGreatHeistTimedChargeDesc,"Научитесь создавать взрывчатку с часовым механизмом."
perkGreatHeistTimedChargeLongDesc,"Взрывчатка с часовым механизмом. Если у грабителя есть взрывчатка с таймером, ему никакие укрепленные двери и сейфы не помеха. Научитесь создавать взрывчатку с часовым механизмом."
perkHuntingJournal0Desc,"Вы прочитаете советы от лучших охотников и узнаете способы охоты на самых разных животных."
perkHuntingJournal0Name,"Журнал охотника"
perkHuntingJournalBearsDesc,"Урон медведям на 10% больше."
perkHuntingJournalBearsLongDesc,"Медведи. Медведи бывают очень злыми, и их очень сложно убить. Урон медведям на 10% больше."
perkHuntingJournalCompleteDesc,"Более эффективная добыча костей, мяса и кожи с животных."
perkHuntingJournalCompleteLongDesc,"Добыча материалов. Научитесь использовать убитых животных на 100%. Более эффективная добыча костей, мяса и кожи с животных."
perkHuntingJournalCoyotesDesc,"Урон койотам на 10% больше."
perkHuntingJournalCoyotesLongDesc,"Койоты. Пустынные падальщики, могут быть опасны в стаях. Урон койотам на 10% больше."
perkHuntingJournalDeerDesc,"Урон оленям на 10% больше."
perkHuntingJournalDeerLongDesc,"Олени. Оленей в лесах водится достаточно много, они — любимая добыча охотников. Урон оленям на 10% больше."
perkHuntingJournalMountainLionsDesc,"Урон пумам на 10% больше."
perkHuntingJournalMountainLionsLongDesc,"Пумы. Опасные кошки, которые часто встречаются в заснеженных горах. Урон пумам на 10% больше."
perkHuntingJournalSelfDefenseDesc,"Урон людям на 10% больше."
perkHuntingJournalSelfDefenseLongDesc,"Самооборона. Используя эти советы, вы сможете остановить напавших и не стать добычей. Урон людям на 10% больше."
perkHuntingJournalVulturesDesc,"Урон грифам на 10% больше."
perkHuntingJournalVulturesLongDesc,"Грифы. Грифы обычно встречаются в пустыне; их привлекают раненые и умирающие животные. Урон грифам на 10% больше."
perkHuntingJournalWolvesDesc,"Урон волкам на 10% больше."
perkHuntingJournalWolvesLongDesc,"Волки. Волки — распространенные хищники, опасны в стае. Урон волкам на 10% больше."
perkLuckyLooter0Desc,"Удача отвернулась от вас? После этой серии книг она станет вашим постоянным спутником: соседи будут завидовать вашим успехам, а в пабах о вас будут ходить легенды. Что бы вы ни находили, этого будет больше, чем обычно."
perkLuckyLooter0Name,"Везучий искатель"
perkLuckyLooterAmmoDesc,"Вы находите больше боеприпасов в добыче."
perkLuckyLooterAmmoLongDesc,"Боеприпасы. Боеприпасов никогда не бывает достаточно. Вы находите больше боеприпасов в добыче."
perkLuckyLooterBooksDesc,"Вы находите больше мусора в добыче."
perkLuckyLooterBooksLongDesc,"Мусор. Мусор для одного — сокровище для другого. Вы находите больше мусора в добыче."
perkLuckyLooterBrassDesc,"Вы находите больше латуни в добыче."
perkLuckyLooterBrassLongDesc,"Латунь. В пустошах латунь невероятно ценится, ведь из нее делают пули. Вы находите больше латуни в добыче."
perkLuckyLooterCompleteDesc,"Добыча выпадает из противников с большей вероятностью."
perkLuckyLooterCompleteLongDesc,"Счастливчик. Вам невероятно повезло: это лучший совет из всех, поэтому он в самом конце. Добыча выпадает из противников с вероятностью на 20% больше."
perkLuckyLooterDukesDesc,"Вы находите больше дюков в добыче."
perkLuckyLooterDukesLongDesc,"Дюки. Если знаешь, как искать, то деньги можно находить буквально повсюду. Вы находите больше дюков в добыче."
perkLuckyLooterFoodDesc,"Вы находите больше провизии в добыче."
perkLuckyLooterFoodLongDesc,"Провизия. Теперь фастфуд бывает только в консервах. Этот совет поможет немножко пополнить запасы еды. Вы находите больше провизии в добыче."
perkLuckyLooterLeadDesc,"Вы находите больше свинца в добыче."
perkLuckyLooterLeadLongDesc,"Свинец. В мире после апокалипсиса свинец очень ценится. Вы находите больше свинца в добыче."
perkLuckyLooterMedicalDesc,"Вы находите больше медикаментов в добыче."
perkLuckyLooterMedicalLongDesc,"Медикаменты. Слишком много ран, и так не хватает бинтов. Вы находите больше медикаментов в добыче."
perkNeedleAndThread0Desc,"Вы узнаете, как обеспечить себя одеждой с ног до головы. В каждом издании рассматривается дизайн качественной одежды с прицелом на любителей домашнего шитья."
perkNeedleAndThread0Name,"Иголка с ниткой"
perkNeedleAndThreadCompleteDesc,"Создание военной одежды."
perkNeedleAndThreadCompleteLongDesc,"Военная одежда. Научитесь создавать униформу армейского качества, которая лучше защищает от непогоды."
perkNeedleAndThreadCompleteName,"Иголка с ниткой, завершение"
perkNeedleAndThreadDesertWearDesc,"Шейте собственные шорты, майки и футболки."
